CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
01100170109835,FAME Public Charter,D,Y,All,2,14,13,92.86,*,7.10,*,0.00,*,0.00,*,0.00,1112
01100170109835,FAME Public Charter,D,Y,FEM,6,*,*,0.00,*,0.00,*,0.00,*,100.00,*,0.00,1112
01100170109835,FAME Public Charter,D,Y,SD,All,49,38,77.55,*,12.20,*,0.00,*,10.20,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,FEM,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,MAL,5,*,*,75.00,*,0.00,*,0.00,*,25.00,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,D,Y,All,5,16,12,75.00,*,6.30,*,6.30,*,12.50,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,D,Y,FEM,1,*,*,0.00,*,0.00,*,0.00,*,100.00,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,D,Y,SE,All,12,*,83.33,*,0.00,*,8.30,*,8.30,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,EL,All,*,*,37.50,*,37.50,*,12.50,*,12.50,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,MAL,6,24,20,83.33,*,12.50,*,0.00,*,4.20,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,D,Y,All,6,16,12,75.00,*,6.30,*,0.00,*,18.80,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,D,Y,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,D,Y,SE,All,*,*,50.00,*,0.00,*,0.00,*,50.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,FEM,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,MAL,5,16,12,75.00,*,6.30,*,0.00,*,18.80,*,0.00,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,All,4,960,860,89.58,56,5.80,*,0.40,40,4.20,*,0.00,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,FEM,All,8367,6991,83.55,904,10.80,44,0.50,420,5.00,*,0.10,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,FEM,7,2014,1858,92.25,107,5.30,*,0.30,39,1.90,*,0.10,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,MAL,3,133,99,74.44,24,18.00,*,0.00,*,6.80,*,0.80,1112
01100170130419,Alameda County Community,S,N,All,6,2791,1744,62.49,691,24.80,33,1.20,318,11.40,*,0.20,1112
01100170130419,Alameda County Community,S,N,EL,All,3209,2035,63.42,720,22.40,37,1.20,412,12.80,*,0.20,1112
01100170130419,Alameda County Community,S,N,FEM,3,134,104,77.61,25,18.70,*,0.70,*,3.00,*,0.00,1112
00000000000000,Statewide,T,N,All,All,500974,395098,78.87,65429,13.10,2780,0.60,36507,7.30,1160,0.20,1112
00000000000000,Statewide,T,N,All,7,142897,123751,86.60,11743,8.20,741,0.50,6292,4.40,370,0.30,1112
00000000000000,Statewide,T,N,FEM,1,2006,1549,77.22,316,15.80,11,0.50,125,6.20,*,0.20,1112
00000000000000,Statewide,T,N,MAL,4,7226,6383,88.33,464,6.40,53,0.70,315,4.40,11,0.20,1112
00000000000000,Statewide,T,N,SE,All,56865,34761,61.13,9684,17.00,2681,4.70,9613,16.90,126,0.20,1112
01000000000000,Alameda,O,N,All,3,267,203,76.03,49,18.40,*,0.40,13,4.90,*,0.40,1112
01000000000000,Alameda,O,N,FEM,4,431,406,94.20,16,3.70,*,0.50,*,1.60,*,0.00,1112
01000000000000,Alameda,O,N,MAL,6,1394,813,58.32,377,27.00,20,1.40,181,13.00,*,0.20,1112
01000000000000,Alameda,O,N,MIG,All,168,109,64.88,36,21.40,*,0.00,22,13.10,*,0.60,1112
01100170000000,Alameda County Office of Education,D,N,All,5,4779,3386,70.85,893,18.70,35,0.70,454,9.50,11,0.20,1112
01100170000000,Alameda County Office of Education,D,N,FEM,6,1397,931,66.64,314,22.50,13,0.90,137,9.80,*,0.10,1112
01100170000000,Alameda County Office of Education,D,N,MAL,2,1899,1694,89.20,133,7.00,*,0.30,66,3.50,*,0.10,1112
01100170000000,Alameda County Office of Education,D,N,MAL,9,231,199,86.15,21,9.10,*,0.40,*,3.90,*,0.40,1112
01100170109835,FAME Public Charter,D,Y,All,5,18,14,77.78,*,5.60,*,0.00,*,16.70,*,0.00,1112
01100170109835,FAME Public Charter,D,Y,MAL,2,*,*,80.00,*,20.00,*,0.00,*,0.00,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,All,All,84,70,83.33,*,10.70,*,0.00,*,6.00,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,FEM,5,14,11,78.57,*,7.10,*,0.00,*,14.30,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,SE,All,*,*,71.43,*,0.00,*,0.00,*,28.60,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,D,Y,EL,All,*,*,37.50,*,37.50,*,12.50,*,12.50,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,D,Y,MAL,6,24,20,83.33,*,12.50,*,0.00,*,4.20,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,All,6,40,34,85.00,*,10.00,*,0.00,*,5.00,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,FEM,6,16,14,87.50,*,6.30,*,0.00,*,6.30,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,MAL,7,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,D,Y,All,7,*,*,0.00,*,100.00,*,0.00,*,0.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,D,Y,MAL,6,*,*,71.43,*,0.00,*,0.00,*,28.60,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,All,6,16,12,75.00,*,6.30,*,0.00,*,18.80,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,SE,All,*,*,50.00,*,0.00,*,0.00,*,50.00,*,0.00,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,All,3,267,203,76.03,49,18.40,*,0.40,13,4.90,*,0.40,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,FEM,4,431,406,94.20,16,3.70,*,0.50,*,1.60,*,0.00,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,MAL,6,1394,813,58.32,377,27.00,20,1.40,181,13.00,*,0.20,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,MIG,All,168,109,64.88,36,21.40,*,0.00,22,13.10,*,0.60,1112
